UserID,SystemID,SegmentID,Type,Score,StartTime,EndTime
zhoeng2c04,Combo-5,450,TGT,40,1520740612.396,1520740652.945
zhoeng2c04,Combo-6,450,TGT,40,1520740612.396,1520740652.945
zhoeng2c04,Combo-4,913,TGT,9,1520740588.778,1520740611.441
zhoeng2c04,Online-B-1710,913,TGT,11,1520740575.203,1520740578.583
zhoeng2c04,Combo-6,913,TGT,9,1520740508.747,1520740520.451
zhoeng2c04,Reference-PE,913,TGT,66,1520740493.248,1520740507.774
zhoeng2c04,Sogou,913,TGT,13,1520740485.965,1520740492.302
zhoeng2c04,Reference-WMT,913,TGT,26,1520740474.38,1520740484.9
zhoeng2c04,Reference-HT,913,TGT,16,1520740451.141,1520740473.265
zhoeng2c04,Online-A-1710,913,TGT,10,1520740442.833,1520740450.184
zhoeng2c04,Reference-PE,842,CHK,40,1520740433.33,1520740441.876
zhoeng2c04,Reference-PE,1541,TGT,50,1520740416.43,1520740432.31
zhoeng2c04,Online-B-1710,1541,TGT,12,1520740405.122,1520740415.529
zhoeng2c04,Reference-HT,1541,TGT,20,1520740392.443,1520740404.203
zhoeng2c04,Combo-4,1541,TGT,94,1520740378.554,1520740391.575
zhoeng2c04,Online-A-1710,1541,TGT,27,1520739660.863,1520740377.344
zhoeng2c04,Reference-WMT,1900,CHK,53,1520739647.286,1520739659.938
zhoeng2c04,Sogou,1541,TGT,82,1520739618.906,1520739645.999
zhoeng2c04,Combo-5,913,TGT,12,1520739613.905,1520739618.005
zhoeng2c04,Reference-PE,1464,TGT,71,1520739586.91,1520739591.262
zhoeng2c04,Combo-4,1464,TGT,16,1520739580.937,1520739585.888
zhoeng2c04,Reference-WMT,1464,TGT,6,1520739575.952,1520739580.077
zhoeng2c04,Sogou,1464,TGT,20,1520739569.603,1520739574.893
zhoeng2c04,Online-A-1710,1900,CHK,19,1520739564.825,1520739568.704
zhoeng2c04,Combo-5,1464,TGT,13,1520739559.456,1520739563.923
zhoeng2c04,Combo-6,1464,TGT,13,1520739559.456,1520739563.923
zhoeng2c04,Reference-HT,1464,TGT,21,1520739551.621,1520739558.625
zhoeng2c04,Online-A-1710,1464,TGT,14,1520739542.401,1520739550.786
zhoeng2c04,Online-A-1710,695,TGT,11,1520739525.796,1520739531.254
zhoeng2c04,Reference-HT,695,TGT,32,1520739500.066,1520739524.923
zhoeng2c04,Reference-WMT,695,TGT,5,1520739484.227,1520739499.018
zhoeng2c04,Reference-PE,695,TGT,86,1520739469.913,1520739483.197
zhoeng2c04,Sogou,695,TGT,62,1520739452.697,1520739468.889
zhoeng2c04,Combo-5,695,TGT,17,1520739321.182,1520739451.381
zhoeng2c04,Reference-WMT,450,CHK,12,1520739310.702,1520739315.934
zhoeng2c04,Combo-4,695,TGT,12,1520739252.451,1520739267.555
zhoeng2c04,Online-B-1710,695,TGT,10,1520739226.789,1520739239.113
zhoeng2c04,Combo-4,842,TGT,27,1520739215.585,1520739225.994
zhoeng2c04,Reference-WMT,842,TGT,84,1520739201.235,1520739214.694
zhoeng2c04,Combo-4,913,CHK,8,1520739187.666,1520739200.332
zhoeng2c04,Reference-HT,842,TGT,88,1520737596.958,1520737618.372
zhoeng2c04,Combo-5,842,TGT,90,1520737587.44,1520737596.165
zhoeng2c04,Combo-6,842,TGT,90,1520737587.44,1520737596.165
zhoeng2c04,Combo-6,695,TGT,44,1520737560.7,1520737586.606
zhoeng2c04,Online-A-1710,842,TGT,63,1520737506.928,1520737528.184
zhoeng2c04,Online-B-1710,110,TGT,16,1520737500.482,1520737506.136
zhoeng2c04,Reference-PE,842,TGT,16,1520736941.953,1520737499.45
zhoeng2c04,Reference-HT,110,TGT,28,1520736916.02,1520736941.138
zhoeng2c04,Combo-4,110,TGT,14,1520736904.794,1520736915.201
zhoeng2c04,Combo-5,110,TGT,14,1520736904.794,1520736915.201
zhoeng2c04,Combo-6,110,TGT,14,1520736904.794,1520736915.201
zhoeng2c04,Reference-PE,110,TGT,38,1520736826.21,1520736903.612
zhoeng2c04,Online-B-1710,842,TGT,15,1520736482.853,1520736825.149
zhoeng2c04,Sogou,913,CHK,13,1520736449.275,1520736462.787
zhoeng2c04,Sogou,842,TGT,23,1520736310.036,1520736400.26
zhoeng2c04,Reference-WMT,1900,TGT,96,1520736299.865,1520736309.033
zhoeng2c04,Reference-PE,1900,TGT,89,1520736292.225,1520736299.134
zhoeng2c04,Combo-5,913,CHK,9,1520736283.171,1520736291.454
zhoeng2c04,Online-A-1710,110,TGT,21,1520736245.235,1520736262.813
zhoeng2c04,Sogou,110,TGT,69,1520736160.505,1520736244.449
zhoeng2c04,Sogou,1900,TGT,49,1520736152.301,1520736159.742
zhoeng2c04,Reference-WMT,110,TGT,40,1520735994.212,1520736151.354
zhoeng2c04,Online-B-1710,1900,TGT,28,1520735986.257,1520735993.273
zhoeng2c04,Combo-6,1900,TGT,47,1520735939.312,1520735961.726
zhoeng2c04,Reference-HT,1900,TGT,83,1520735927.939,1520735938.563
zhoeng2c04,Online-A-1710,1900,TGT,31,1520735908.393,1520735927.225
zhoeng2c04,Reference-HT,1479,TGT,25,1520735875.297,1520735897.634
zhoeng2c04,Combo-5,1900,TGT,23,1520735840.045,1520735874.568
zhoeng2c04,Reference-HT,1464,CHK,80,1520735824.588,1520735839.315
zhoeng2c06,Sogou,1479,TGT,23,1520641226.485,1520641280.459
zhoeng2c06,Combo-4,1900,TGT,49,1520641217.429,1520641225.586
zhoeng2c06,Combo-4,1479,TGT,23,1520641210.295,1520641216.515
zhoeng2c06,Combo-5,1479,TGT,23,1520641210.295,1520641216.515
zhoeng2c06,Combo-6,1479,TGT,23,1520641210.295,1520641216.515
zhoeng2c06,Online-A-1710,1479,TGT,22,1520641181.063,1520641209.291
zhoeng2c06,Online-A-1710,695,CHK,23,1520641176.251,1520641180.227
zhoeng2c06,Online-B-1710,1479,TGT,23,1520641173.208,1520641175.419
zhoeng2c06,Reference-PE,1479,TGT,23,1520641170.521,1520641172.348
zhoeng2c05,Reference-HT,1541,TGT,59,1520869785.829,1520869793.696
zhoeng2c05,Combo-4,1541,TGT,40,1520869776.291,1520869784.92
zhoeng2c05,Online-A-1710,1541,TGT,72,1520869753.832,1520869775.556
zhoeng2c05,Reference-WMT,1900,CHK,51,1520869746.799,1520869753.092
zhoeng2c05,Sogou,1541,TGT,70,1520869709.452,1520869746.069
zhoeng2c05,Combo-5,913,TGT,69,1520869662.767,1520869708.635
zhoeng2c05,Reference-PE,1464,TGT,73,1520869636.145,1520869639.896
zhoeng2c05,Combo-4,1464,TGT,82,1520869631.21,1520869635.45
zhoeng2c05,Reference-WMT,1464,TGT,17,1520869626.314,1520869630.492
zhoeng2c05,Sogou,1464,TGT,79,1520869616.347,1520869625.589
zhoeng2c05,Online-A-1710,1900,CHK,34,1520869610.165,1520869615.608
zhoeng2c05,Combo-5,1464,TGT,73,1520869592.107,1520869609.486
zhoeng2c05,Combo-6,1464,TGT,73,1520869592.107,1520869609.486
zhoeng2c05,Reference-HT,1464,TGT,81,1520869586.74,1520869591.229
zhoeng2c05,Online-A-1710,1464,TGT,12,1520869577.251,1520869586.061
zhoeng2c05,Online-A-1710,695,TGT,64,1520869555.841,1520869566.986
zhoeng2c05,Reference-HT,695,TGT,87,1520869528.552,1520869555.114
zhoeng2c05,Reference-WMT,695,TGT,22,1520869513.445,1520869527.863
zhoeng2c05,Reference-PE,695,TGT,83,1520869501.129,1520869512.768
zhoeng2c05,Sogou,695,TGT,81,1520869491.967,1520869500.41
zhoeng2c05,Combo-5,695,TGT,63,1520869476.758,1520869491.233
zhoeng2c05,Reference-WMT,450,CHK,39,1520869458.636,1520869466.502
zhoeng2c05,Combo-4,695,TGT,75,1520868662.45,1520868681.613
zhoeng2c05,Online-B-1710,695,TGT,56,1520868642.004,1520868653.673
zhoeng2c05,Combo-4,842,TGT,85,1520868631.761,1520868639.507
zhoeng2c05,Reference-WMT,842,TGT,64,1520868551.221,1520868631.153
zhoeng2c05,Combo-4,913,CHK,71,1520868479.385,1520868546.483
zhoeng2c05,Reference-HT,842,TGT,83,1520868464.387,1520868469.16
zhoeng2c05,Combo-5,842,TGT,80,1520868458.934,1520868463.782
zhoeng2c05,Combo-6,842,TGT,80,1520868458.934,1520868463.782
zhoeng2c05,Combo-6,695,TGT,81,1520868439.481,1520868458.231
zhoeng2c04,Reference-WMT,450,TGT,21,1520741117.994,1520741128.941
zhoeng2c04,Reference-WMT,1479,TGT,73,1520741106.06,1520741116.643
zhoeng2c06,Reference-WMT,450,TGT,23,1520641167.454,1520641169.635
zhoeng2c06,Reference-WMT,1479,TGT,22,1520641158.478,1520641166.527
zhoeng2c06,Online-A-1710,450,TGT,23,1520641148.494,1520641150.931
zhoeng2c06,Reference-HT,450,TGT,23,1520641141.925,1520641144.092
zhoeng2c06,Reference-WMT,842,CHK,22,1520641138.571,1520641140.722
zhoeng2c06,Reference-PE,450,TGT,23,1520641126.982,1520641128.996
zhoeng2c06,Online-B-1710,450,TGT,22,1520641124.174,1520641126.164
zhoeng2c06,Sogou,450,TGT,23,1520641118.258,1520641123.379
zhoeng2c06,Combo-4,450,TGT,23,1520641115.22,1520641117.435
zhoeng2c06,Combo-5,450,TGT,22,1520641108.006,1520641114.411
zhoeng2c06,Combo-6,450,TGT,22,1520641108.006,1520641114.411
zhoeng2c06,Combo-4,913,TGT,22,1520641103.622,1520641107.147
zhoeng2c06,Online-B-1710,913,TGT,22,1520641092.379,1520641094.706
zhoeng2c06,Combo-6,913,TGT,23,1520641012.203,1520641041.603
zhoeng2c06,Reference-PE,913,TGT,23,1520640995.942,1520641011.371
zhoeng2c06,Sogou,913,TGT,23,1520640990.015,1520640995.091
zhoeng2c06,Reference-WMT,913,TGT,23,1520640987.055,1520640989.268
zhoeng2c06,Reference-HT,913,TGT,23,1520640980.662,1520640986.219
zhoeng2c06,Online-A-1710,913,TGT,24,1520640977.496,1520640979.915
zhoeng2c06,Reference-PE,842,CHK,75,1520640967.805,1520640976.707
zhoeng2c06,Reference-PE,1541,TGT,51,1520640964.82,1520640967.012
zhoeng2c06,Online-B-1710,1541,TGT,50,1520640956.669,1520640964.058
zhoeng2c06,Reference-HT,1541,TGT,49,1520640951.376,1520640955.891
zhoeng2c06,Combo-4,1541,TGT,51,1520640945.891,1520640950.619
zhoeng2c06,Online-A-1710,1541,TGT,23,1520640941.787,1520640945.139
zhoeng2c06,Reference-WMT,1900,CHK,50,1520640937.805,1520640940.931
zhoeng2c06,Sogou,1541,TGT,22,1520640924.509,1520640937.035
zhoeng2c06,Combo-5,913,TGT,22,1520640917.285,1520640923.715
zhoeng2c06,Reference-PE,1464,TGT,75,1520640840.431,1520640848.756
zhoeng2c06,Combo-4,1464,TGT,75,1520640836.865,1520640839.772
zhoeng2c06,Reference-WMT,1464,TGT,49,1520640803.451,1520640836.068
zhoeng2c06,Sogou,1464,TGT,77,1520640793.731,1520640802.707
zhoeng2c06,Online-A-1710,1900,CHK,49,1520640788.862,1520640792.971
zhoeng2c06,Combo-5,1464,TGT,74,1520640776.367,1520640788.138
zhoeng2c06,Combo-6,1464,TGT,74,1520640776.367,1520640788.138
zhoeng2c06,Reference-HT,1464,TGT,75,1520640772.283,1520640775.683
zhoeng2c06,Online-A-1710,1464,TGT,74,1520640762.922,1520640771.627
zhoeng2c06,Online-A-1710,695,TGT,23,1520640750.375,1520640755.691
zhoeng2c06,Reference-HT,695,TGT,23,1520640689.22,1520640749.675
zhoeng2c06,Reference-WMT,695,TGT,23,1520640686.153,1520640688.555
zhoeng2c06,Reference-PE,695,TGT,23,1520640681.475,1520640685.474
zhoeng2c06,Sogou,695,TGT,22,1520640677.342,1520640680.812
zhoeng2c06,Combo-5,695,TGT,23,1520640673.568,1520640676.739
zhoeng2c06,Reference-WMT,450,CHK,23,1520640609.43,1520640621.444
zhoeng2c06,Combo-4,695,TGT,22,1520640593.625,1520640602.355
zhoeng2c06,Online-B-1710,695,TGT,23,1520640580.465,1520640583.835
zhoeng2c06,Combo-4,842,TGT,76,1520640567.264,1520640579.787
zhoeng2c06,Reference-WMT,842,TGT,50,1520640297.355,1520640566.595
zhoeng2c06,Combo-4,913,CHK,50,1520640293.781,1520640296.684
zhoeng2c06,Reference-HT,842,TGT,50,1520640269.458,1520640279.46
zhoeng2c06,Combo-5,842,TGT,49,1520640259.731,1520640268.819
zhoeng2c06,Combo-6,842,TGT,49,1520640259.731,1520640268.819
zhoeng2c06,Combo-6,695,TGT,22,1520640251.407,1520640259.083
zhoeng2c06,Online-A-1710,842,TGT,22,1520640244.877,1520640250.771
zhoeng2c06,Online-B-1710,110,TGT,50,1520640241.582,1520640244.276
zhoeng2c06,Reference-PE,842,TGT,76,1520640228.68,1520640240.94
zhoeng2c06,Reference-HT,110,TGT,50,1520640225.741,1520640228.092
zhoeng2c06,Combo-4,110,TGT,50,1520640219.516,1520640225.107
zhoeng2c06,Combo-5,110,TGT,50,1520640219.516,1520640225.107
zhoeng2c06,Combo-6,110,TGT,50,1520640219.516,1520640225.107
zhoeng2c06,Reference-PE,110,TGT,22,1520640215.232,1520640218.915
zhoeng2c06,Online-B-1710,842,TGT,23,1520640190.313,1520640214.611
zhoeng2c06,Sogou,913,CHK,23,1520640174.965,1520640177.955
zhoeng2c06,Sogou,842,TGT,23,1520640156.784,1520640168.028
zhoeng2c06,Reference-WMT,1900,TGT,23,1520640132.439,1520640156.154
zhoeng2c06,Reference-PE,1900,TGT,76,1520639800.396,1520640131.507
zhoeng2c06,Combo-5,913,CHK,50,1520639795.636,1520639799.835
zhoeng2c06,Online-A-1710,110,TGT,22,1520639773.462,1520639781.795
zhoeng2c06,Sogou,110,TGT,22,1520639722.83,1520639772.747
zhoeng2c06,Sogou,1900,TGT,75,1520639714.972,1520639722.307
zhoeng2c06,Reference-WMT,110,TGT,22,1520639709.365,1520639714.395
zhoeng2c06,Online-B-1710,1900,TGT,76,1520639702.73,1520639708.835
zhoeng2c06,Combo-6,1900,TGT,23,1520639690.936,1520639696.852
zhoeng2c06,Reference-HT,1900,TGT,76,1520639681.602,1520639690.387
zhoeng2c06,Online-A-1710,1900,TGT,49,1520639673.419,1520639681.075
zhoeng2c06,Reference-HT,1479,TGT,22,1520639560.755,1520639666.644
zhoeng2c06,Combo-5,1900,TGT,23,1520639483.285,1520639560.202
zhoeng2c06,Reference-HT,1464,CHK,76,1520639464.797,1520639482.732
zhoeng2c17,Reference-HT,1038,TGT,61,1520940619.804,1520940631.1
zhoeng2c17,Reference-WMT,1038,TGT,54,1520940605.982,1520940618.725
zhoeng2c17,Sogou,894,TGT,59,1520940540.954,1520940604.89
zhoeng2c17,Reference-PE,1038,TGT,68,1520940485.651,1520940539.84
zhoeng2c17,Sogou,1038,TGT,65,1520940469.377,1520940484.565
zhoeng2c17,Combo-4,361,CHK,78,1520940462.326,1520940468.276
zhoeng2c17,Combo-5,361,CHK,78,1520940462.326,1520940468.276
zhoeng2c17,Combo-6,361,CHK,78,1520940462.326,1520940468.276
zhoeng2c17,Online-B-1710,1038,TGT,54,1520940448.893,1520940461.285
zhoeng2c17,Combo-6,1038,TGT,100,1520940427.594,1520940447.862
zhoeng2c17,Combo-4,1048,TGT,79,1520940409.986,1520940416.028
zhoeng2c17,Combo-5,1048,TGT,79,1520940409.986,1520940416.028
zhoeng2c17,Combo-6,1048,TGT,79,1520940409.986,1520940416.028
zhoeng2c17,Online-A-1710,1038,TGT,32,1520940388.482,1520940400.249
zhoeng2c17,Reference-WMT,1048,TGT,78,1520940376.393,1520940382.327
zhoeng2c17,Combo-4,1038,TGT,98,1520940358.486,1520940375.34
zhoeng2c17,Combo-5,1038,TGT,98,1520940358.486,1520940375.34
zhoeng2c17,Sogou,1048,TGT,73,1520940351.525,1520940357.535
zhoeng2c17,Reference-HT,1048,TGT,96,1520940268.091,1520940350.125
zhoeng2c17,Reference-WMT,1883,CHK,69,1520940262.021,1520940267.056
zhoeng2c17,Online-B-1710,1048,TGT,68,1520940252.598,1520940261.042
zhoeng2c17,Online-A-1710,1048,TGT,72,1520940241.339,1520940251.571
