UserID,SystemID,SegmentID,Type,Score,StartTime,EndTime
zhoeng2b01,Reference-HT,1820,TGT,71,1520895685.462,1520895692.947
zhoeng2b01,Online-B-1710,1820,TGT,81,1520895680.617,1520895684.703
zhoeng2b01,Reference-WMT,1820,TGT,76,1520895672.957,1520895679.866
zhoeng2b01,Online-A-1710,515,TGT,22,1520895667.022,1520895672.203
zhoeng2b01,Reference-PE,1820,TGT,81,1520895660.988,1520895666.321
zhoeng2b01,Combo-6,515,TGT,75,1520895653.257,1520895660.188
zhoeng2b01,Combo-4,503,CHK,57,1520895646.876,1520895651.999
zhoeng2b01,Online-B-1710,515,TGT,61,1520895641.471,1520895646.069
zhoeng2b01,Combo-4,515,TGT,75,1520895636.731,1520895640.827
zhoeng2b01,Combo-5,515,TGT,75,1520895636.731,1520895640.827
zhoeng2b01,Reference-PE,515,TGT,81,1520895631.399,1520895635.944
zhoeng2b01,Reference-HT,515,TGT,75,1520895616.79,1520895624.267
zhoeng2b01,Sogou,515,TGT,82,1520895609.31,1520895615.639
zhoeng2b01,Reference-WMT,515,TGT,79,1520895595.519,1520895601.205
zhoeng2b01,Combo-5,1570,TGT,74,1520895590.071,1520895595.005
zhoeng2b01,Combo-6,1570,TGT,74,1520895590.071,1520895595.005
zhoeng2b01,Sogou,1570,TGT,75,1520895585.752,1520895589.428
zhoeng2b01,Reference-WMT,1710,CHK,82,1520895581.181,1520895584.465
zhoeng2b01,Reference-HT,1570,TGT,78,1520895575.174,1520895579.142
zhoeng2b01,Online-A-1710,1570,TGT,68,1520895567.652,1520895573.889
zhoeng2b01,Online-B-1710,1570,TGT,73,1520895534.575,1520895540.454
zhoeng2b01,Reference-WMT,1570,TGT,73,1520895523.694,1520895528.371
zhoeng2b01,Combo-4,1570,TGT,76,1520895510.204,1520895522.341
zhoeng2b01,Online-A-1710,441,TGT,70,1520895504.328,1520895509.516
zhoeng2b01,Combo-5,441,TGT,69,1520895497.772,1520895503.678
zhoeng2b01,Reference-PE,441,TGT,79,1520895491.119,1520895497.186
zhoeng2b01,Combo-4,441,TGT,65,1520895484.128,1520895490.436
zhoeng2b01,Sogou,441,TGT,77,1520895471.492,1520895483.35
zhoeng2b01,Combo-6,441,TGT,65,1520895464.427,1520895467.903
zhoeng2b01,Online-B-1710,441,TGT,75,1520895441.042,1520895453.344
zhoeng2b01,Combo-6,884,CHK,78,1520895434.739,1520895440.396
zhoeng2b01,Sogou,1345,TGT,80,1520895423.928,1520895433.893
zhoeng2b01,Combo-4,1345,TGT,69,1520895406.671,1520895415.015
zhoeng2b01,Combo-5,1345,TGT,69,1520895406.671,1520895415.015
zhoeng2b01,Combo-6,1345,TGT,69,1520895406.671,1520895415.015
zhoeng2b01,Reference-WMT,1345,TGT,35,1520895385.043,1520895399.311
zhoeng2b01,Online-A-1710,1345,TGT,76,1520895378.91,1520895384.404
zhoeng2b01,Reference-HT,441,TGT,70,1520895371.35,1520895377.362
zhoeng2b01,Online-B-1710,1345,TGT,75,1520895365.413,1520895370.297
zhoeng2b01,Reference-PE,1345,TGT,75,1520895365.413,1520895370.297
zhoeng2b01,Combo-4,884,CHK,60,1520895361.941,1520895364.762
zhoeng2b01,Reference-WMT,441,TGT,55,1520895355.436,1520895361.465
zhoeng2b01,Online-B-1710,1210,TGT,75,1520895343.39,1520895354.187
zhoeng2b01,Reference-HT,1210,TGT,68,1520895333.968,1520895341.677
zhoeng2b01,Online-A-1710,515,CHK,23,1520895329.414,1520895333.283
zhoeng2b01,Online-A-1710,1210,TGT,72,1520895321.796,1520895328.873
zhoeng2b01,Reference-WMT,1210,TGT,66,1520895310.835,1520895321.102
zhoeng2b01,Combo-6,1210,TGT,63,1520895298.922,1520895310.188
zhoeng2b01,Reference-PE,1210,TGT,56,1520895285.518,1520895297.813
zhoeng2b01,Reference-HT,1345,TGT,64,1520895279.066,1520895284.469
zhoeng2b01,Combo-4,515,CHK,67,1520895251.484,1520895265.132
zhoeng2b01,Combo-5,515,CHK,67,1520895251.484,1520895265.132
zhoeng2b01,Combo-4,503,TGT,59,1520895243.59,1520895250.855
zhoeng2b01,Sogou,503,TGT,81,1520895233.834,1520895242.913
zhoeng2b01,Combo-6,503,TGT,79,1520895219.44,1520895233.135
zhoeng2b01,Sogou,1210,TGT,77,1520895210.519,1520895218.286
zhoeng2b01,Online-B-1710,503,TGT,51,1520895181.54,1520895188.564
zhoeng2b01,Combo-4,1210,TGT,74,1520895159.422,1520895171.09
zhoeng2b01,Combo-5,1210,TGT,74,1520895159.422,1520895171.09
zhoeng2b01,Reference-PE,503,TGT,80,1520895146.434,1520895159.054
zhoeng2b01,Reference-WMT,1710,TGT,81,1520895141.523,1520895145.812
zhoeng2b01,Sogou,1710,TGT,84,1520895132.476,1520895140.975
zhoeng2b01,Combo-5,503,TGT,77,1520895124.742,1520895131.863
zhoeng2b01,Reference-HT,503,TGT,72,1520895083.88,1520895122.885
zhoeng2b01,Reference-WMT,503,TGT,75,1520895068.148,1520895083.431
zhoeng2b01,Sogou,1570,CHK,58,1520895026.825,1520895039.286
zhoeng2b01,Reference-HT,1710,TGT,69,1520895017.153,1520895026.304
zhoeng2b01,Online-A-1710,503,TGT,78,1520894998.538,1520895016.685
zhoeng2b01,Reference-WMT,884,TGT,75,1520894976.71,1520894986.085
